BR,US,UK,Name,Kind,Size,Rating,StrandN,StrandD,StrandA,CuBundD,Ins1Th,Ins2Th,Screen2Th,Tape2Th,Screen3Th,Tape3Th,JackTh,Diameter,Weight,EA,EI,GJ,MaxTension,MBR
#MATERIALS,,,,,,,,COPPER,,,XLPE-SCM,XLPE,XLPE-SCM,SCM-TAPE,COPPER,WB-TAPE,HDPE,,,,,,,
#6kV CuT,,,,CuT,,6kV,,,,,,,,,,,,,,,,,,
,,,300mm2 20kV CuT,CuT,300,20,61,2.5704,12,21.2976,0.7,5.61,0.7,0.8,0.2,0,0,37.3176,3.614628184,,,,,373
,,,400mm2 20kV CuT,CuT,400,20,61,2.907,12,24.08657143,0.7,5.61,0.7,0.8,0.2,0,0,40.10657143,4.471955568,,,,,401
,,,500mm2 20kV CuT,CuT,500,20,61,3.264,12,27.04457143,0.7,5.61,0.7,0.8,0.2,0,0,43.06457143,5.486123702,,,,,430
,,,630mm2 20kV CuT,CuT,630,20,127,2.5704,12,30.7632,0.7,5.61,0.7,0.8,0.2,0,0,46.7832,6.905530214,,,,,467
,,,,,,,,,,,,,,,,,,,,,,,,
#30kV Cut,,,,CuT,,30kV,,,,,,,,,,,,,,,,,,
,,,50mm2 30kV CuT,CuT,50,30,19,1.8156,12,8.35752381,0.7,8.16,0.7,0.8,0.2,0,0,29.47752381,1.112453807,,,,,294
,,,70mm2 30kV CuT,CuT,70,30,19,2.1828,12,10.04780952,0.7,8.16,0.7,0.8,0.2,0,0,31.16780952,1.364700459,,,,,311
,,,95mm2 30kV CuT,CuT,95,30,19,2.5704,12,11.832,0.7,8.16,0.7,0.8,0.2,0,0,32.952,1.669459146,,,,,329
,,,120mm2 30kV CuT,CuT,120,30,37,2.0706,12,13.34386667,0.7,8.16,0.7,0.8,0.2,0,0,34.46386667,1.953639929,,,,,344
,,,150mm2 30kV CuT,CuT,150,30,37,2.295,12,14.79,0.7,8.16,0.7,0.8,0.2,0,0,35.91,2.255663287,,,,,359
,,,185mm2 30kV CuT,CuT,185,30,37,2.5704,12,16.5648,0.7,8.16,0.7,0.8,0.2,0,0,37.6848,2.661663771,,,,,376
,,,240mm2 30kV CuT,CuT,240,30,61,2.295,12,19.01571429,0.7,8.16,0.7,0.8,0.2,0,0,40.13571429,3.282174916,,,,,401
,,,300mm2 30kV CuT,CuT,300,30,61,2.5704,12,21.2976,0.7,8.16,0.7,0.8,0.2,0,0,42.4176,3.929468396,,,,,424
,,,400mm2 30kV CuT,CuT,400,30,61,2.907,12,24.08657143,0.7,8.16,0.7,0.8,0.2,0,0,45.20657143,4.807864871,,,,,452
,,,500mm2 30kV CuT,CuT,500,30,61,3.264,12,27.04457143,0.7,8.16,0.7,0.8,0.2,0,0,48.16457143,5.844379011,,,,,481
,,,630mm2 30kV CuT,CuT,630,30,127,2.5704,12,30.7632,0.7,8.16,0.7,0.8,0.2,0,0,51.8832,7.291877645,,,,,518
,,,,,,,,,,,,,,,,,,,,,,,,
#6kV OS,,,,OS,,6kV,,,,,,,,,,,,,,,,,,
